address,balance,TDR,Wallet_Age(Days),From_Count,To_Count,Predicted_Holding_days
0x09ad31043b0b939576d5206b064ca1807c4160fd,0.00358,0.206,223,29,12,Over 4 weeks
0xc97370f22ed5ac4c7b24a8e1ca9d81febb3b9457,0.0021,0.14,689,13,67,Over 4 weeks
0x48a9789428f2067338d02b1ef3612df64f05feb7,1.7411,1.176,2113,4,96,Over 4 weeks
0x1b5b4fcedf1252cd92496a2fd5c593b39ac49b01,0.00125,0.12,709,16,55,Over 4 weeks
0x1aaed39ffb89233d990d22c3410039e85721fbc1,0.01165,0.096,294,8,18,Over 4 weeks
0x8200d84590eceb10c6471268930e2924f34e3d69,0.04735,0.0,0,0,0,Over 4 weeks
0x3399a3fedb73354c26883ae11c2c8d1941926289,0.02904,0.042,648,14,12,Over 4 weeks
0x2d5823e8e8b4dfbf599a97566ff2a121cc141d60,0.00149,0.134,685,25,51,Over 4 weeks
0x0516cf37b67235e07af38ad8e388d0e68089b0f2,0.00212,0.079,655,9,41,Over 4 weeks
0x7f85cf44e446a4b1aace2a28774e88cd6d4e3441,0.0227,5.263,958,51,49,Over 4 weeks
0x63bab39b89a156cc528b374c0109b77b4e343b53,0.00217,0.519,177,32,48,Over 4 weeks
0x631ab8eb40588543df900263f864b6376d56a587,0.07708,0.238,688,34,66,Over 4 weeks
0xc5afc3a0f462c5a387393421b6a253204a3be8d2,0.24167,0.047,1865,34,53,Over 4 weeks
0xf20772b296bd6404ce845e966f46cd6be8fa384b,0.00092,0.061,170,3,6,Over 4 weeks
0xbc9a6ea3e32b05e87f3e3e0ddbb23fc0c62c61f3,0.00125,0.01,482,2,2,Over 4 weeks
0x29ee39be789ada5cbb2051f4bdd70dd735aed7d0,0.01719,0.332,557,38,62,Over 4 weeks
0xfa6e906dd9084d50be4b0e6ac13ef5b7186362e2,0.03261,0.37,477,30,70,Over 4 weeks
0xdaabbb932725cc1b3ca487ee174b59cbd6b0ec98,0.13473,1.408,1773,1,99,Over 4 weeks
0x76ac6ad4e4e7c2e0b4ceeb30745bd53df3a85774,0.00136,0.102,678,12,45,Over 4 weeks
0x37b1884205cc47c2bf5cf5a0248946c4c0c85724,1.55151,0.27,1235,40,60,Over 4 weeks
0x5ec17bcf1fb27dbc92e1a6389d9e127a61fae8b9,0.1629,0.025,1564,21,17,Over 4 weeks
0x7a3bdee62dd34fac317ae61cd8b3ba7c27ada145,0.00074,0.1,655,11,43,Over 4 weeks
0x668fab5429f363f87c17b1d9f7eada702cadae1f,0.02932,0.194,655,37,63,Over 4 weeks
0x5574d6f75a59945a3d2e056d048816e11ce12bf8,0.59576,0.189,766,45,55,Over 4 weeks
0xf094c2406f91e946d8c4757a2f8c00d9ec4d703e,0.00057,0.027,482,3,9,Over 4 weeks
0x972a8b7d891b88220780421fe4d11f174354ceed,0.00151,0.106,655,18,39,Over 4 weeks
0xc1519857d37ba893680372b9299e4957bce800ab,0.00721,0.0,0,0,0,Over 4 weeks
0x696d181a7961ee66c42f1ebeddc0b48b106c45ad,0.0349,0.49,918,52,48,Over 4 weeks
0x1b9da462d07512fa37021973d853b59debb761dd,0.00122,0.136,647,17,55,Over 4 weeks
0x14d607c20ff934b0d895577c6e80ab0cd6a8b322,0.01064,0.408,403,44,56,Over 4 weeks
0x8d4fcf8170a20ccc91fab546ee57bd01c930e608,0.23738,0.735,1942,13,87,Over 4 weeks
0x7b0b35b416631f05f321fe74990817dca81cabde,0.39453,0.375,1904,36,64,Over 4 weeks
0x35e6fc00e3f190a8dfe15faa219368a01028ec14,0.00222,0.084,655,5,40,Over 4 weeks
0xc1da4cb564110e85399d4e8e311a818ff885c18c,0.0,0.0,0,0,0,Over 4 weeks
0xe12305a06ecfc570c4e9ee664fb7e22901b3b842,0.0,1.0,426,0,1,Over 4 weeks
0x6394e71bc502010b60377c92c901c2cbc2dcd175,0.011,0.095,139,2,4,Over 4 weeks
0x24a000804704b9557466382a806b6baa31cf574c,0.02808,0.325,1391,34,66,Over 4 weeks
0x613e052555ac74ff6af0fc64e40e8035c1e9dcf8,9e-05,0.301,389,54,38,Over 4 weeks
0x022111936500251ea358a98cbb158d77580efb42,0.03531,0.316,308,45,47,Over 4 weeks
0x37ea22d0f551aa66d54605592b672f385b713dc4,0.00446,0.541,1937,17,83,Over 4 weeks
0xc077c537727b07a6521332da75fa8966192f425d,0.10716,0.144,491,22,41,Over 4 weeks
0xfc32afc3b324b45323a77785f63a2c7108b04200,0.39618,1.0,147,0,1,Over 4 weeks
0xcf603a4b0d42337dd9fde4998c092adc9c6c7fdb,0.13096,0.361,940,52,48,Over 4 weeks
0x5b47ce248ea313841668a318afb9a5597d5efc23,0.26434,0.224,930,51,49,Over 4 weeks
0x5a0fd2d11f8b8c7c281efbf69519393e076ab416,0.0,0.058,205,1,3,Over 4 weeks
0xdba62cba66bf4296208552d0495a0f05fed4214d,0.00176,0.0,0,0,0,Over 4 weeks
0x98289029b0d4bb73ead9eb1a3300ed724fcf6779,0.10467,0.251,482,38,62,Over 4 weeks
0x2929b126f3176d3fa3ff30c4eb7de604192ec840,0.00301,0.013,483,2,2,Over 4 weeks
0xbaa32387bd55553ec806622d524b12bbb8242a19,0.2397,0.126,2048,32,68,Over 4 weeks
0xbc72198d65075fdad2ca7b8db79eff5b51c8b30d,0.00178,0.239,721,38,62,Over 4 weeks
0x529b59fbbf22b999c23fefbbed364feee3c12ba1,0.02161,0.076,691,29,22,Over 4 weeks
0x4680c9038bd1ace31d21441c609d58103491a73e,0.01829,0.187,249,7,18,Over 4 weeks
0x7324569e024192bbd12de41130029711f79315c3,0.02392,0.169,288,12,17,Over 4 weeks
0xa74cb71969c6476ec42b6fc740d9ce2a496afd5b,0.05554,0.073,169,2,10,Over 4 weeks
0x4f0347b0ed538544db7323bfb7536ff07b7915f1,0.02404,0.08,559,19,25,Over 4 weeks
0x5e0ad0493903459f8f6d75d412eaca6d94a691b3,0.14262,0.113,272,2,12,Over 4 weeks
0x764f1ea61f86c911dabd48d8a050a7acbb35dd33,0.00126,0.042,440,7,6,Over 4 weeks
0x13e35b33b929bd96a004ea88d1fec552b205a23b,0.47065,0.369,480,37,63,Over 4 weeks
0x4872a286645a3733daff9abc1d196fd4704b5c9b,0.09794,3.448,159,42,58,Over 4 weeks
0x5ff817a31c03828c9f8995fc8b70b2eab5e59acc,0.02943,0.333,416,39,61,Over 4 weeks
0x93442eb8f90330704cfb2ba5da88d6bdddae6aa9,0.39815,0.31,742,44,56,Over 4 weeks
0x2744a205b3a599508295e53d0290b949104d57f4,0.05883,0.372,480,34,66,Over 4 weeks
0x908e8e8084d660f8f9054aa8ad1b31380d04b08f,0.24333,1.111,1929,1,99,Over 4 weeks
0x37d2445fdf9b83b58392dadc9cc29100c263b505,0.00272,0.158,248,14,18,Over 4 weeks
0x2dabd1c849b5adc1fb421e043ba53be6bb2aec62,0.01122,0.132,209,13,14,Over 4 weeks
0xd3d0e2141c998e64c1c7e2435064bb9785e8db24,0.01221,0.05,746,8,22,Over 4 weeks
0x33231c4171e4d6a864c05b6db61467ec2424efa5,0.08812,0.232,636,34,66,Over 4 weeks
0x48fae920b92b9408f88619ff5c217ecebaf563b8,0.20645,0.029,1528,18,26,Over 4 weeks
0x15fab1cc5262d69853b1196f74d38c7fc96fc6d7,0.01317,0.197,870,42,58,Over 4 weeks
0x4fb63d01dc521fceeabac44e57bc675077656deb,0.00511,0.312,290,29,54,Over 4 weeks
0x3c6e78a279ca78088a939d80968feffcd517190a,0.05255,0.189,801,44,56,Over 4 weeks
0xbcd8fc34307cc53755b6082c41b6ba643fbc6f99,0.19307,0.135,763,36,56,Over 4 weeks
0x36d9b6a89196042b5450b4687aa7c5c315c22aa9,0.02861,0.189,178,12,18,Over 4 weeks
0x1f2910331d564341ba9a9762f2b7eca182230b2f,0.00932,0.155,522,22,55,Over 4 weeks
0x79ccedbefbfe6c95570d85e65f8b0ac0d6bd017b,0.00104,0.085,564,6,32,Over 4 weeks
0x736ed70a9059978a9c7733cd65e780f0c7bd162c,0.01001,0.105,886,31,57,Over 4 weeks
0xcd0b67a61e5e8f4616c19e421e929813b6d947df,0.01752,0.187,750,36,64,Over 4 weeks
0x119383b0051e920d6161cee971247d625b8d69cb,0.00149,0.088,526,5,31,Over 4 weeks
0x54ead1d36a2752d6ce8697dbcdb26040b63c402b,0.04927,0.203,249,10,17,Over 4 weeks
0xbd1f7d88c76a86c60d41bddd4819fae404e7151e,9.04882,0.513,1337,35,65,Over 4 weeks
0xc83c3b46d8e622b9c7b540872c6af8636ddc1d17,0.16715,0.222,671,37,63,Over 4 weeks
0x32a59b87352e980dd6ab1baf462696d28e63525d,0.13275,0.303,1912,23,77,Over 4 weeks
0xfa778a2bd937a8e17ea0ea15f9c1a3e97d81ade1,0.00081,0.041,1341,13,41,Over 4 weeks
0xfdab3be33284ef68442f55535ffc0b1fcbad2b62,0.03345,0.098,1401,46,54,Over 4 weeks
0x770bebe5946907cee4dfe004f1648ac435a9d5bb,0.00262,0.077,522,3,28,Over 4 weeks
0x77c9e49073d9830723195f3788570c2c36c97688,0.24729,0.26,683,37,63,Over 4 weeks
0x7da0e97cb78832463914392b5d414c1befa1fb01,0.02287,0.295,728,40,60,Over 4 weeks
0x247e0896706bb09245549e476257a0a1129db418,0.00019,0.33,479,55,45,Over 4 weeks
0x40de3299bd8a10d8ac3f32c1a55de40640cf9b75,0.00505,0.112,492,20,32,Over 4 weeks
0xa8293dd8eb52564a35b8357a539146321b934153,0.09185,0.225,714,41,59,Over 4 weeks
0xf84c58dc674b8f29f3d5b56f561817e3920f9a63,0.0151,0.139,378,22,28,Over 4 weeks
0x515fad9044494cd323b211c2f1eec80c1098f4f2,0.06111,0.238,500,33,67,Over 4 weeks
0x385a3911ff5b1f4ce3fefe3b430edf5792fd4044,0.01235,0.055,746,10,23,Over 4 weeks
0x31a406efbd18897c85a028ca2ad9bbf06febaa2c,0.02621,0.33,472,46,54,Over 4 weeks
0x265445e894efab864663c64a62c1555084fdf94c,0.01443,0.05,746,8,22,Over 4 weeks
0x026b9a9c57734558ee78e1561049b6b548733395,0.0,0.0,0,0,0,Over 4 weeks
0xfbf0736eb2ac1c4bb0193ae54c53e182b18037fc,0.05379,0.38,349,38,62,Over 4 weeks
0x021c5536bd60bce9f15fb0e32746e332e3fbfaf4,0.0,0.0,0,0,0,Over 4 weeks
0xa4b2c652b4052729ab35f6a6ffc0c22bad7bdba8,0.58227,0.163,763,42,58,Over 4 weeks
0x7d9a6083bd1a89115782bbe602088e10a5dd01a6,0.01902,0.047,159,1,3,Over 4 weeks
0xd2b2f14e25ccf9e7d62611586c2fee55bd96436a,0.00388,0.293,681,51,49,Over 4 weeks
0x7c8b82d1677a198cb14331be465766fbbd836e7f,3.01116,0.047,537,9,16,Over 4 weeks
0x95e9ffc26cb33fa701a56862cd6e2b4c96cb444e,0.0257,0.789,143,16,29,Over 4 weeks
0x085ed975a8b6b860de3c2b871da60a3f9f48a5b8,0.16334,0.131,714,33,57,Over 4 weeks
0x096edfe03c04d91d1f297662092ac1b336e6d427,1.43486,0.5,880,48,52,Over 4 weeks
0x416365993481e52e0472e7417656276d4e147a00,0.00806,0.26,732,36,64,Over 4 weeks
0xa24a81bcebbeeb8e6687babf99bb4d0f72c22af5,0.04242,0.198,518,32,67,Over 4 weeks
0x347bb83e4ab465c8c6b7afab3beb373410a9cae2,0.25795,1.031,303,36,64,Over 4 weeks
0x33482803274c5e08661843636dcee8e9a68c7252,0.25527,1.136,295,36,64,Over 4 weeks
0xea5bbad59c45a02ac0b0f48c9b4b7ccbccd73c36,0.06001,0.159,407,15,48,Over 4 weeks
0x9744ab296781536b76a12ad6d48baba814b866e7,0.00127,0.0,0,0,0,Over 4 weeks
0x427a33234faacb6b3acd1a5a27d9f8bec358e3c9,0.00975,0.042,204,2,5,Over 4 weeks
0x4e70bd663b20bb64db6172f5c871bd41c1cc7298,0.14056,0.168,763,47,53,Over 4 weeks
0x8c57d1fab10d4b78f49ef5c6abaeb76a63710f61,0.11372,0.17,891,44,56,Over 4 weeks
0x382cab376440f92d4943f8b47dd45645cf98be0c,0.035,0.086,1680,38,62,Over 4 weeks
0xc4916b8a736db8b9819ccc4729240f1d8a88c5f6,0.00024,0.12,481,19,37,Over 4 weeks
0x4aef8b6ca98ca20087e6b0827a50868172a32afd,0.00058,0.087,519,4,31,Over 4 weeks
0xc85fcc44005a1d24142c6b347a0256b5e9306c10,0.03722,0.147,1847,8,92,Over 4 weeks
0x82e88356396eb8d4645dc09dfd2c5821b5f88fbe,0.00844,0.042,1440,23,36,Over 4 weeks
0x4cb75146e98562c9d79b31649c6c739e4dcb7cd5,1.10609,0.699,363,52,48,Over 4 weeks
0xd08da3621a547d7d7cb07425e6aa6679c566e40f,0.0185,0.588,230,49,51,Over 4 weeks
0x14efca67ed15d631ee4d095512709cd1d2ae87a2,0.0104,0.127,212,9,17,Over 4 weeks
0x9e988bf30fa85c5ee2ceac5c13c95357cd35d0f3,0.74558,0.14,623,39,46,Over 4 weeks
0x12aeebbcbf40d4ef264761d1eee553d4920ba7f1,0.00099,0.263,170,3,7,Over 4 weeks
0xffe7729b1eab35aa37c4486c8fc9f576d4cc1603,0.00575,0.033,746,6,14,Over 4 weeks
0x2951b1f7058bd2c05f01954002c450bac0873847,0.76942,2.703,1041,57,43,Over 4 weeks
0x787c8be38e968bd0b41eaabe0b69d1c32ea09262,0.00192,0.092,519,6,31,Over 4 weeks
0xb5d31e8512d1d0b048da53832a36d56fb200ca3d,0.02252,0.019,556,2,8,Over 4 weeks
0xf9e6b5549d62f304812debf43e718d502d7d3726,0.00487,0.032,685,4,13,Over 4 weeks
0xab884368ab49d771cccdc3f5c9ff682767e450d1,0.02642,0.206,508,34,60,Over 4 weeks
0xcc459846ff7587a972caeff28315c8d20390c4bd,0.00469,0.263,520,46,54,Over 4 weeks
0x3ab6d39846b06d6d8f41a61f6571dbab8e187910,0.00521,0.032,685,4,13,Over 4 weeks
0x72ddddaf0ac801649222d7eb2fccbca359f7a819,0.01698,0.083,329,2,13,Over 4 weeks
0x1c05decb151a459e8b045a93f472d1b238204094,0.02669,0.61,400,46,54,Over 4 weeks
0xa97d4048b71975a475766e8278dcd2da1e8674fa,0.017,0.369,471,41,59,Over 4 weeks
0x38b02f720416d170ab5f83ee4990402820a69019,0.01011,0.037,688,5,15,Over 4 weeks
0xf4e5cfcd4cd9ef4186b3ada87835d3ab36c5942b,4e-05,0.033,746,4,16,Over 4 weeks
0x894c933c4113fa86a84262f12610d4e8266e9194,0.01562,0.549,349,46,54,Over 4 weeks
0x947b7742c403f20e5faccdac5e092c943e7d0277,8.93053,0.415,787,48,52,Over 4 weeks
0xf85d965e9fd4607b000110253214f49231f0031a,0.05417,0.418,519,53,47,Over 4 weeks
0xcd75942b66c1a82d7e04f65a34ce7f93791fa8a8,0.02845,0.308,671,40,60,Over 4 weeks
0x11c25599461c850f7720dd562e9be0a9eb6e99aa,0.01353,0.037,686,5,15,Over 4 weeks
0xa0164833c956f812294fe624e08c17bab439dadb,0.03237,0.037,975,17,18,Over 4 weeks
0xcc2005844aeabbd4d663f7c45c9bd1369eb062b3,0.02131,2.5,234,42,58,Over 4 weeks
0x034de217b44fe8f4c4088400448bdd917cb86d84,0.00164,0.0,0,0,0,Over 4 weeks
0x8adfc6e6e6da6ed9af7f094b3f3115ed72048395,0.24135,1.351,555,53,47,Over 4 weeks
0xf99b49202f457eede7c2afda05d865dc9034c506,0.00869,0.033,746,4,16,Over 4 weeks
0xa6bd9208a37c4c4d20cd9512d47dba5553bfbf96,0.00118,0.0,0,0,0,Over 4 weeks
0xbde8d3ef66ea8a6c38024615e0117c4d7b3d5cd9,0.00734,0.204,874,50,50,Over 4 weeks
0xd57e9df75381553ce9c154712ac7f73eb206bd63,0.62012,0.108,694,14,54,Over 4 weeks
0xb07c0772dea1557c2836c7e263bb795dbd6cca4a,0.00161,0.0,0,0,0,Over 4 weeks
0x4ada1b9d9fe28abd9585f58cfeed2169a39e1c6b,0.00137,0.242,1731,27,73,Over 4 weeks
0xdbd6483e67c51cce92d1aebe6568a8159c175d8d,0.00164,0.0,0,0,0,Over 4 weeks
0x7e092225fd5b125b0fd15c09650562cd19e70689,0.00161,0.0,0,0,0,Over 4 weeks
0x75a256dffdd2ade70ace4a034144c2a8c41a1213,0.00164,0.0,0,0,0,Over 4 weeks
0xded031e7490a814964c6e97517a0bed948a30049,0.00161,0.0,0,0,0,Over 4 weeks
0xa43b33e226e8a1463cc5bf7f035d9fc1b277bd3d,0.0019,0.038,746,6,17,Over 4 weeks
0x7e84ff0c73cb66803b1bcaea3b47764ac7a03e5c,0.00153,0.0,0,0,0,Over 4 weeks
0x752811fb9514026e384062ca46e8e0b09e505e31,0.00164,0.0,0,0,0,Over 4 weeks
0x91f7c7dc5a44276482c102178fe1d620b397c276,0.02691,0.213,784,39,61,Over 4 weeks
0x4a05853f3b4b55b9752bcad92b6a8855bd9cc304,0.00164,0.0,0,0,0,Over 4 weeks
0x4d40a5c183551dfb601c4b4518b0e0c686a95dbb,0.00161,0.0,0,0,0,Over 4 weeks
0x4f55ecbeedf6cffbb9cf48a84225da242b2f160d,0.00161,0.0,0,0,0,Over 4 weeks
0x4928bf2ceed277d29743984f38e84c0841998528,0.00164,0.0,0,0,0,Over 4 weeks
0xf3998b1c695d2f9d6ae148043ccf9a5f2b478d3a,0.00161,0.0,0,0,0,Over 4 weeks
0x6b87616d8fe9eb216975d464f13a82f72114af2f,0.04368,0.115,923,36,64,Over 4 weeks
0x09c7912cf36a0c40854eb842fd2ad81db3447740,0.00161,0.0,0,0,0,Over 4 weeks
0x9d46f85335fa2849763f0028ef0702b0fc4c96a0,0.00164,0.0,0,0,0,Over 4 weeks
0x4547efb10d0b10fb95d84792e0fc9703eed3a59e,0.00161,0.0,0,0,0,Over 4 weeks
0xd314cb3388d80236ac7111be118f86d8558de8b5,1.00533,0.301,682,46,54,Over 4 weeks
0x6d78a8d90cd4cf49d1735714c327014b8e077fce,0.00161,0.0,0,0,0,Over 4 weeks
0x0f9484d95ce12b2a1965324e770251feb89d09f6,0.00164,0.0,0,0,0,Over 4 weeks
0x335d2d954cec61cb4673780300d890340a29dd99,0.01672,0.202,813,42,58,Over 4 weeks
0x762270f1ffc45cf42a12c8fc157509eb983329ac,0.00161,0.0,0,0,0,Over 4 weeks
0x5f3bc93440f25bdacedad1fad047847edf071f4b,0.00161,0.0,0,0,0,Over 4 weeks
0x10cfe51de1c18e361ce614a876189229809f9fc5,0.00164,0.0,0,0,0,Over 4 weeks
0x5efa63d81ee2c9c487f4c0146021085882a7951c,0.00153,0.0,0,0,0,Over 4 weeks
0xc290cfb8d020c0615e9c63036f4319cc41717e68,0.06119,0.313,827,33,67,Over 4 weeks
0x17e70c83f2d9b6d9fb067c72428afc2b7ee7dcd0,0.00151,0.0,0,0,0,Over 4 weeks
0x70a4e88ccf1376145071d097bca031310b44bb46,0.00164,0.0,0,0,0,Over 4 weeks
0x4a874f678149d884931943b7af16d9fe18514880,0.00153,0.0,0,0,0,Over 4 weeks
0xdc439408dfbd9987c22cb3e6397a4c6ea697747d,0.00161,0.0,0,0,0,Over 4 weeks
0x0028c167ee07193671670c82e41b2081139c4690,0.00153,0.0,0,0,0,Over 4 weeks
0x458ef55cb647fd7184fb729ebb44def52e293c92,0.00153,0.0,0,0,0,Over 4 weeks
0xf755b49d20cc1ec85da1c5a07cdf499a166ee383,0.00159,0.0,0,0,0,Over 4 weeks
